65472,12,6.20051,-75.5782,1500.27,61,EGZ112,27
66545,4482,6.20118,-75.5757,1515.79,52,EGZ112,22
66547,4479,6.20141,-75.5757,1514,52,EGZ112,22
67113,7655,6.18556,-75.5616,1750.15,45,EGZ112,20
67115,7647,6.18501,-75.5614,1744.99,45,EGZ112,20
67560,10392,6.20272,-75.6016,1577.56,42,EGZ112,20
67576,53,6.20299,-75.6014,1575.95,42,EGZ112,20
67619,385,6.20316,-75.6058,1638.73,41,EGZ112,20
67622,6,6.20317,-75.6058,1638.33,41,EGZ112,20
69197,1004,6.1955,-75.581,1506.99,41,EGZ112,19
69199,1003,6.19542,-75.581,1506.59,41,EGZ112,19
69244,1313,6.20054,-75.5783,1500.23,41,EGZ112,20
69826,52,6.20062,-75.5783,1500.02,41,EGZ112,29
69853,234,6.19863,-75.5779,1503.54,40,EGZ112,29
69855,225,6.2001,-75.5775,1502.17,40,EGZ112,29
70231,3670,6.20058,-75.5782,1500.19,33,EGZ112,28
70897,20,6.20055,-75.5782,1500.22,34,EGZ112,26
70985,751,6.20493,-75.5771,1496.25,33,EGZ112,26
71049,27,6.20778,-75.5767,1493.39,32,EGZ112,26
71709,4705,6.3055,-75.5604,1484.67,25,EGZ112,22
71711,4703,6.30546,-75.5604,1484.82,25,EGZ112,22
71723,4823,6.30821,-75.5603,1475.59,25,EGZ112,22
71725,4820,6.30815,-75.5603,1475.74,25,EGZ112,22
71908,6156,6.34677,-75.5739,1505.19,22,EGZ112,20
71913,29,6.34664,-75.5737,1500.3,22,EGZ112,20
71925,103,6.34698,-75.5752,1514.45,22,EGZ112,20
72169,27,6.34699,-75.5753,1511.87,21,EGZ112,15
72356,1726,6.23841,-75.5756,1471.68,17,EGZ112,17
72390,18,6.23774,-75.5757,1471.67,18,EGZ112,17
72406,198,6.23957,-75.5801,1475.51,17,EGZ112,17
72408,191,6.23961,-75.579,1473.45,17,EGZ112,17
72455,565,6.24958,-75.5994,1508.18,16,EGZ112,17
72457,561,6.2495,-75.5993,1508.19,16,EGZ112,17
72474,664,6.24817,-75.5985,1506.71,16,EGZ112,17
72492,3,6.24828,-75.5984,1506.43,20,EGZ112,17
72675,937,6.23884,-75.6016,1515.84,55,EGZ112,17
72834,45,6.23875,-75.6022,1518.1,55,EGZ112,17
72950,1014,6.20938,-75.5718,1521.51,52,EGZ112,16
73091,32,6.20947,-75.5718,1521.99,52,EGZ112,17
73143,419,6.19535,-75.5744,1553.47,51,EGZ112,16
73145,409,6.19626,-75.575,1540.45,51,EGZ112,16
73540,2943,6.23229,-75.5011,2567.49,25,EGZ112,10
74310,194,6.23271,-75.5023,2554.7,20,EGZ112,17
74388,709,6.21997,-75.4989,2557.48,18,EGZ112,15
74390,707,6.22003,-75.4987,2557.53,18,EGZ112,15
74401,766,6.21852,-75.5016,2521.56,18,EGZ112,15
74403,765,6.21863,-75.5016,2521.25,18,EGZ112,15
74647,2675,6.19459,-75.5694,1613.08,17,EGZ112,22
74649,2667,6.19373,-75.5698,1612.69,17,EGZ112,22
74705,3051,6.20057,-75.5783,1500.19,16,EGZ112,24
77209,26,6.20061,-75.5777,1500.61,16,EGZ112,25
78671,6393,6.15586,-75.5998,1668.08,2,EGZ112,28
78959,11,6.15584,-75.5997,1663.77,3,EGZ112,23
79147,1231,6.2006,-75.5783,1500.1,2,EGZ112,27
82562,245,6.19133,-75.5802,1511.31,0,EGZ112,17
82685,989,6.17485,-75.5933,1531.9,0,EGZ112,16
83043,16,6.17474,-75.5933,1532.09,100,EGZ112,24
83091,320,6.18683,-75.5847,1516.38,100,EGZ112,25
83093,318,6.18675,-75.5848,1516.49,100,EGZ112,25
83111,437,6.19776,-75.5802,1502.28,100,EGZ112,26
83113,434,6.19735,-75.5803,1502.49,100,EGZ112,26
83150,697,6.21827,-75.5766,1486.31,100,EGZ112,27
83280,6,6.21823,-75.5764,1486.66,100,EGZ112,21
83399,761,6.20308,-75.5773,1498.16,100,EGZ112,22
83401,759,6.20326,-75.5773,1498.23,100,EGZ112,22
83458,1140,6.20055,-75.5782,1500.22,100,EGZ112,21
88844,58,6.20053,-75.5783,1500.24,100,EGZ112,25
88904,682,6.19251,-75.58,1510.18,100,EGZ112,23
89200,44,6.19254,-75.5793,1523.43,100,EGZ112,24
89258,419,6.19702,-75.5744,1541.57,100,EGZ112,25
89399,27,6.19702,-75.5744,1541.57,100,EGZ112,25
89444,381,6.20612,-75.5769,1495.54,98,EGZ112,26
89905,7,6.21224,-75.5751,1496.14,98,EGZ112,26
89997,620,6.19251,-75.5764,1539.26,96,EGZ112,26
89999,617,6.19276,-75.5764,1538.53,96,EGZ112,26
90043,976,6.2018,-75.5789,1499.24,95,EGZ112,26
90044,974,6.20179,-75.579,1499.09,95,EGZ112,26
90054,1050,6.20056,-75.5782,1500.21,95,EGZ112,26
91103,24,6.2005,-75.5782,1500.28,95,EGZ112,22
91189,763,6.20228,-75.5919,1532.48,93,EGZ112,22
91190,758,6.20204,-75.5915,1524.92,93,EGZ112,22
91259,1353,6.20278,-75.6019,1579.11,92,EGZ112,22
91315,56,6.20341,-75.6035,1609.3,91,EGZ112,21
91399,762,6.20327,-75.6058,1634.58,90,EGZ112,21
92321,28,6.20328,-75.6058,1634.24,90,EGZ112,19
